#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
24,Chainlink LINK,$5.84,-0.1%,-2.6%,-2.7%,"$210,882,474","$3,145,695,482","$5,845,931,334",0.54
25,Uniswap UNI,$4.11,-0.2%,-1.9%,-6.4%,"$92,263,269","$3,101,665,746","$4,114,888,442",0.75
26,Binance USD BUSD,$0.999393,-0.0%,-0.1%,-0.0%,"$311,587,302","$2,562,450,255","$2,562,450,255",1.00
27,Monero XMR,$138.65,-1.1%,-2.4%,-2.4%,"$52,075,291","$2,516,188,844",-,-
28,OKB OKB,$40.94,-0.3%,-1.1%,-2.8%,"$4,331,448","$2,457,911,020","$12,289,555,102",0.20
29,Ethereum Classic ETC,$14.68,-0.1%,-2.0%,-4.4%,"$63,529,082","$2,099,578,796","$3,094,565,131",0.68
30,Cosmos Hub ATOM,$6.41,-0.1%,-3.4%,-4.9%,"$119,664,853","$1,875,145,077",-,-
31,Hedera HBAR,$0.045888035825,0.1%,-3.4%,-5.4%,"$32,352,757","$1,524,433,892","$2,295,313,291",0.66
33,Quant QNT,$92.91,1.0%,-4.1%,-4.1%,"$24,211,220","$1,351,833,145","$1,358,182,969",1.00
32,Filecoin FIL,$3.02,-0.4%,-2.0%,-5.0%,"$89,633,246","$1,349,741,604","$5,927,511,543",0.23
34,Internet Computer ICP,$2.98,0.2%,-3.2%,-7.9%,"$30,868,347","$1,324,124,824","$1,506,848,526",0.88
35,Cronos CRO,$0.050022852756,-0.2%,-3.4%,-1.1%,"$6,624,242","$1,314,073,451","$1,501,103,804",0.88
36,Mantle MNT,$0.404303,-0.0%,-1.3%,-9.0%,"$34,053,921","$1,307,150,907","$2,513,489,566",0.52
37,Lido DAO LDO,$1.45,0.2%,-1.3%,-6.4%,"$30,896,279","$1,291,285,596","$1,453,444,699",0.89
38,Aptos APT,$4.99,-0.2%,-3.1%,-9.4%,"$80,073,346","$1,149,229,089","$5,267,876,651",0.22
39,VeChain VET,$0.014799800697,-0.8%,-2.2%,-4.2%,"$31,688,507","$1,076,655,800","$1,283,920,527",0.84
40,NEAR Protocol NEAR,$1.12,0.4%,-1.2%,-0.9%,"$57,215,871","$1,053,208,466","$1,118,445,707",0.94
41,Optimism OP,$1.26,-0.2%,0.6%,-4.8%,"$82,026,481","$1,009,622,957","$5,430,437,054",0.19
42,Arbitrum ARB,$0.766749,-0.3%,-8.0%,-14.1%,"$215,360,548","$979,483,236","$7,682,221,458",0.13
43,Maker MKR,"$1,080.77",-0.4%,-3.2%,-3.2%,"$62,659,582","$975,189,014","$1,088,001,479",0.90
44,Rocket Pool ETH RETH,"$1,688.28",-0.2%,-3.1%,-4.3%,"$3,899,971","$887,637,697","$887,641,979",1.00
45,Kaspa KAS,$0.039884797344,2.7%,0.4%,19.7%,"$10,341,382","$821,044,399","$1,144,301,250",0.72
46,Aave AAVE,$52.39,-0.1%,-2.8%,-3.9%,"$56,015,763","$762,317,283","$839,098,412",0.91
47,WhiteBIT Coin WBT,$5.28,-0.3%,-0.3%,-0.9%,"$8,298,110","$761,255,869","$2,112,860,676",0.36
48,XDC Network XDC,$0.052603832127,-0.1%,-2.9%,-7.4%,"$7,629,872","$729,628,739","$1,992,824,556",0.37
49,USDD USDD,$0.995378,-0.2%,-0.1%,-0.1%,"$21,523,071","$722,959,295",-,-
50,The Graph GRT,$0.078519311060,-0.8%,-5.8%,-9.2%,"$30,004,200","$721,161,446","$785,480,265",0.92
51,Algorand ALGO,$0.089098164841,-0.3%,-1.2%,-4.7%,"$25,810,950","$697,938,622","$891,538,668",0.78
52,Frax FRAX,$0.995528,-0.3%,-0.1%,-0.1%,"$8,834,415","$670,802,081","$670,802,081",1.00
53,Synthetix Network SNX,$2.07,-0.6%,-3.2%,-4.8%,"$23,936,523","$667,752,535","$669,248,602",1.00
54,Tezos XTZ,$0.660411,0.5%,-1.7%,-4.8%,"$19,060,903","$623,318,274",-,-
55,Bitget Token BGB,$0.438515,-0.1%,-0.4%,2.6%,"$18,411,684","$613,996,584","$877,137,351",0.70
56,Stacks STX,$0.429575,-0.2%,-4.0%,-5.0%,"$13,775,240","$604,100,851","$781,341,866",0.77
57,EOS EOS,$0.537230,0.0%,-4.3%,-7.0%,"$73,813,450","$601,773,998",-,-
58,MultiversX EGLD,$22.77,-0.2%,-3.1%,-8.2%,"$12,477,458","$591,405,202","$716,032,729",0.83
59,Theta Network THETA,$0.587084,-0.5%,-2.8%,-2.7%,"$8,633,648","$587,365,220","$587,365,220",1.00
60,The Sandbox SAND,$0.282022,0.1%,-3.8%,-7.1%,"$47,333,940","$582,252,590","$845,915,425",0.69
61,Radix XRD,$0.056024274033,1.0%,-3.8%,8.2%,"$2,423,039","$574,780,380","$1,345,821,600",0.43
62,ImmutableX IMX,$0.491882,-0.1%,-3.3%,-10.4%,"$15,455,711","$573,495,750","$984,632,009",0.58
63,Bitcoin SV BSV,$29.07,0.1%,-1.1%,-4.5%,"$11,260,342","$560,259,122","$610,681,759",0.92
64,Axie Infinity AXS,$4.16,-0.2%,-4.8%,-7.2%,"$28,906,106","$545,020,799","$1,123,052,591",0.49
65,Injective INJ,$6.48,-0.5%,-1.2%,-4.9%,"$20,668,565","$542,957,429","$648,264,374",0.84
66,Fantom FTM,$0.187051,-0.3%,-2.0%,-7.6%,"$57,062,667","$524,781,303","$594,293,029",0.88
67,Render RNDR,$1.41,-0.2%,-3.3%,4.2%,"$25,167,184","$523,769,377","$747,856,763",0.70
68,Gate GT,$3.80,0.1%,-1.2%,-3.0%,"$482,662","$521,806,614","$1,139,584,693",0.46
69,Pax Dollar USDP,$0.997785,-0.1%,-0.3%,-0.1%,"$1,919,273","$519,284,230","$519,284,230",1.00
70,Decentraland MANA,$0.270871,-0.3%,-3.6%,-7.2%,"$56,528,554","$499,240,256","$594,082,941",0.84
71,NEO NEO,$6.97,-0.3%,-0.7%,-0.8%,"$20,843,555","$491,873,291","$697,395,847",0.71
72,Tether Gold XAUT,"$1,922.87",-0.1%,0.2%,-0.6%,"$3,255,043","$474,140,501","$474,140,501",1.00
73,PAX Gold PAXG,"$1,902.58",-0.1%,0.5%,-0.9%,"$8,645,836","$473,843,691","$473,843,691",1.00
74,Kava KAVA,$0.609747,0.0%,-4.0%,-4.2%,"$6,075,086","$462,812,743","$462,825,138",1.00
75,IOTA MIOTA,$0.163252,-0.4%,-4.3%,-4.5%,"$5,718,184","$454,422,426","$454,422,426",1.00
76,cETH CETH,$31.28,-0.3%,-3.3%,-4.3%,$81.99,"$449,373,956","$449,389,527",1.00
77,THORChain RUNE,$1.46,-0.1%,-4.5%,0.9%,"$47,994,258","$438,171,288","$728,584,088",0.60
78,eCash XEC,$0.000021886826,-0.4%,-2.8%,-5.3%,"$3,126,167","$426,916,660","$459,866,100",0.93
79,ApeCoin APE,$1.16,-0.2%,-6.5%,-13.5%,"$50,805,788","$426,343,855","$1,156,676,843",0.37
80,Rocket Pool RPL,$21.59,-0.0%,-5.2%,-10.4%,"$2,648,837","$425,039,921","$425,039,921",1.00
81,Flow FLOW,$0.399013,-0.2%,-3.3%,-8.7%,"$18,519,159","$413,361,902","$580,856,193",0.71
82,Tokenize Xchange TKX,$5.13,-0.1%,-2.9%,1.9%,"$7,248,406","$410,230,339","$512,813,565",0.80
84,Frax Ether FRXETH,"$1,554.33",-0.1%,-3.1%,-4.3%,"$6,190,785","$402,337,113","$402,337,113",1.00
83,Rollbit Coin RLB,$0.120850,1.2%,-12.6%,-30.2%,"$13,943,621","$398,287,977","$604,024,601",0.66
85,Klaytn KLAY,$0.124631,-0.6%,-4.4%,-5.7%,"$7,288,476","$397,657,064",-,-
86,KuCoin KCS,$4.09,-0.3%,-0.6%,2.2%,"$475,535","$395,648,867","$589,929,245",0.67
87,First Digital USD FDUSD,$0.997744,-0.1%,-0.2%,-0.1%,"$346,832,975","$393,784,549","$393,784,549",1.00
88,Chiliz CHZ,$0.055515327465,-0.3%,-2.7%,-6.9%,"$32,705,240","$387,582,151","$493,886,029",0.78
89,Frax Share FXS,$5.02,0.1%,-1.8%,-9.9%,"$22,651,866","$369,298,459","$500,507,913",0.74
90,BitTorrent BTT,$0.000000386595,-0.2%,-2.2%,-4.8%,"$17,021,833","$368,080,766","$383,005,719",0.96
91,GALA GALA,$0.014014715647,-0.0%,-3.1%,-11.7%,"$470,251,970","$366,394,948","$701,480,661",0.52
92,Huobi HT,$2.29,-0.3%,-3.7%,-3.2%,"$10,495,119","$364,786,902","$460,085,387",0.79
93,Casper Network CSPR,$0.032083569078,-0.6%,-4.1%,-8.0%,"$3,495,075","$363,008,875","$385,216,881",0.94
94,Curve DAO CRV,$0.410147,-0.3%,-2.8%,-5.9%,"$30,945,254","$356,038,374","$1,355,004,197",0.26
95,Mina Protocol MINA,$0.365231,0.1%,-2.0%,-0.6%,"$7,349,792","$353,249,573","$392,220,743",0.90
96,Sui SUI,$0.430081,-0.6%,-4.3%,-11.5%,"$55,892,593","$340,983,107","$4,306,551,708",0.08
97,Terra Luna Classic LUNC,$0.000057314584,-0.2%,-3.0%,-8.6%,"$19,061,610","$332,541,837","$391,029,124",0.85
98,dYdX DYDX,$1.87,0.1%,-2.7%,-8.7%,"$43,834,655","$327,865,451","$1,870,261,002",0.18
99,Coinbase Wrapped Staked ETH CBETH,"$1,630.63",-0.3%,-3.3%,-4.4%,"$1,324,707","$325,014,308","$2,065,455,741",0.16
101,NEXO NEXO,$0.563925,2.0%,-0.2%,-5.7%,"$2,896,641","$315,861,285","$564,037,999",0.56
100,Trust Wallet TWT,$0.759220,-0.2%,-0.5%,-4.6%,"$30,643,050","$315,841,106","$758,049,158",0.42
102,Gemini Dollar GUSD,$1.00,-0.0%,0.2%,0.0%,"$955,498","$307,665,392","$307,747,244",1.00
103,APENFT NFT,$0.000000306369,-0.1%,-1.4%,-2.4%,"$13,157,236","$303,806,645","$306,839,575",0.99
104,Nexus Mutual NXM,$44.82,0.0%,-2.8%,-3.8%,"$13,520.53","$302,929,531","$302,929,531",1.00
105,Astar ASTR,$0.056566995244,-1.0%,-2.4%,4.6%,"$10,424,560","$297,364,317","$460,635,233",0.65
106,Dash DASH,$24.97,-0.2%,-1.6%,-2.1%,"$24,059,287","$286,130,918","$472,868,690",0.61
107,Liquity USD LUSD,$0.995685,-0.1%,-0.0%,-0.0%,"$3,532,242","$285,317,253","$285,288,086",1.00
108,Staked Frax Ether SFRXETH,"$1,643.93",-0.1%,-3.1%,-4.3%,"$370,595","$283,455,345","$283,473,331",1.00
109,Pepe PEPE,$0.000000667227,0.0%,-5.6%,-15.8%,"$57,313,639","$280,596,750","$280,596,750",1.00
110,GMX GMX,$30.60,-0.3%,-0.7%,-4.8%,"$7,213,153","$275,551,012","$405,150,478",0.68
111,Flare FLR,$0.011904281829,-0.7%,-3.8%,-10.2%,"$2,581,046","$273,512,077","$1,206,172,683",0.23
112,WOO Network WOO,$0.154103,-0.2%,-0.7%,-6.1%,"$9,529,602","$269,974,425","$347,174,944",0.78
113,cUSDC CUSDC,$0.023041699594,0.0%,0.0%,0.1%,$28.81,"$264,478,424","$264,478,424",1.00
114,tomiNet TOMI,$3.46,-0.5%,5.2%,44.5%,"$28,490,469","$258,509,279","$402,790,508",0.64
115,Arweave AR,$3.93,-0.1%,-1.7%,-5.6%,"$6,822,860","$257,486,258","$259,633,405",0.99
116,SafePal SFP,$0.616145,1.6%,2.0%,8.5%,"$11,080,993","$256,419,360","$304,656,665",0.84
117,Zilliqa ZIL,$0.014953803455,-0.2%,-4.4%,-6.8%,"$15,104,502","$254,260,508","$314,209,617",0.81
118,Gnosis GNO,$96.84,-0.2%,-2.6%,-3.4%,"$1,152,994","$250,258,401","$289,920,602",0.86
119,PancakeSwap CAKE,$1.14,-0.3%,-6.0%,-7.4%,"$28,925,048","$249,387,660","$858,329,575",0.29
120,Compound COMP,$35.85,-0.6%,-2.1%,-10.7%,"$29,260,009","$245,893,143","$358,649,456",0.69
121,DeFiChain DFI,$0.327593,-0.2%,-3.4%,8.3%,"$20,096,459","$244,940,081","$394,065,971",0.62
122,Enjin Coin ENJ,$0.243946,-0.2%,4.1%,5.3%,"$39,169,768","$244,275,352","$244,275,352",1.00
123,Conflux CFX,$0.114502,-1.2%,-4.6%,-8.8%,"$30,118,019","$240,599,140","$606,215,522",0.40
124,Basic Attention BAT,$0.160249,-0.3%,-2.4%,-4.1%,"$14,121,024","$238,854,746","$240,465,708",0.99
125,Fetch.ai FET,$0.225675,-0.5%,1.1%,-14.3%,"$34,594,522","$236,002,080","$260,775,779",0.90
128,1inch 1INCH,$0.225694,-0.4%,-4.9%,-4.1%,"$19,158,122","$232,176,589","$338,373,691",0.69
127,ECOMI OMI,$0.000857081170,0.4%,-3.9%,-8.5%,"$787,402","$232,013,243","$642,086,409",0.36
126,MX MX,$2.30,-0.3%,-4.6%,-9.3%,"$3,596,924","$232,011,281","$998,731,386",0.23
130,Chia XCH,$27.15,0.0%,-2.2%,-6.0%,"$2,064,545","$228,909,228","$798,892,078",0.29
129,Escoin ELG,$2.71,-0.0%,-0.2%,-0.9%,"$478,540","$228,752,259",-,-
131,OKT Chain OKT,$12.78,-0.0%,-1.7%,-5.7%,"$619,868","$228,186,365","$268,492,452",0.85
132,Illuvium ILV,$39.14,0.2%,-2.3%,-4.8%,"$2,162,409","$227,979,679","$376,053,556",0.61
133,Huobi BTC HBTC,"$25,000.53",-0.5%,-1.8%,-3.6%,"$66,266.37","$224,153,048","$224,153,048",1.00
134,Bitcoin Gold BTG,$12.65,0.1%,-2.4%,-4.3%,"$1,673,111","$221,583,873","$265,689,250",0.83
135,Euro Tether EURT,$1.07,-0.3%,-0.2%,-0.4%,"$1,211,960","$220,686,738","$428,520,426",0.51
136,Loopring LRC,$0.176856,-0.2%,-3.5%,-4.7%,"$13,716,599","$220,466,977","$243,207,864",0.91
138,Qtum QTUM,$2.03,-0.5%,-1.2%,-3.6%,"$18,805,137","$213,355,863","$219,471,261",0.97
137,SingularityNET AGIX,$0.172583,-0.3%,-2.0%,-6.1%,"$23,757,160","$212,956,941","$345,517,405",0.62
139,NEM XEM,$0.023646212088,-0.4%,-1.3%,-2.1%,"$2,574,442","$212,706,034","$212,706,034",1.00
140,Sei SEI,$0.117384,-0.5%,-2.8%,-7.1%,"$44,473,900","$211,221,048","$1,173,450,265",0.18
141,Celo CELO,$0.401289,-0.1%,-1.9%,-5.4%,"$6,090,054","$205,632,859","$401,790,733",0.51
142,Mask Network MASK,$2.47,-0.1%,-1.3%,-3.1%,"$30,568,696","$202,311,867","$246,383,762",0.82
144,Zcash ZEC,$24.44,-0.3%,0.3%,0.1%,"$16,710,053","$198,552,413","$513,324,366",0.39
143,Osmosis OSMO,$0.321964,-0.3%,-4.0%,-9.1%,"$6,866,902","$198,537,207","$322,465,651",0.62
145,Helium HNT,$1.37,-0.7%,-1.3%,-10.2%,"$863,863","$197,664,923","$306,244,713",0.65
146,Decred DCR,$12.47,-0.3%,-2.7%,-4.2%,"$721,139","$193,178,114","$262,031,619",0.74
147,cUSDT CUSDT,$0.016231655454,-0.0%,4.0%,4.0%,"$3,622.80","$192,783,814","$191,326,225",1.01
148,Olympus OHM,$11.11,-0.1%,-0.0%,2.3%,"$392,141","$192,502,183","$294,720,829",0.65
149,Akash Network AKT,$0.869006,0.2%,-9.3%,-6.4%,"$2,149,935","$189,647,817","$337,664,813",0.56
150,Oasis Network ROSE,$0.037462507257,-0.6%,-3.1%,-6.2%,"$12,536,705","$188,421,092","$374,642,495",0.50
151,Theta Fuel TFUEL,$0.029941782124,0.0%,-2.8%,-3.0%,"$1,793,886","$187,811,658","$187,811,915",1.00
152,Convex Finance CVX,$2.33,-0.1%,-7.1%,-10.7%,"$4,608,228","$187,265,130","$232,998,587",0.80
154,cDAI CDAI,$0.022389890748,-0.1%,-0.0%,0.0%,$993.00,"$184,699,697","$184,699,697",1.00
153,Bone ShibaSwap BONE,$0.802101,-0.4%,-10.5%,-23.2%,"$7,557,412","$184,603,005","$200,723,164",0.92
155,Aleph Zero AZERO,$0.762697,0.1%,-1.6%,-2.0%,"$758,317","$184,013,501","$260,367,330",0.71
156,Ethereum Name Service ENS,$7.12,-0.1%,-3.8%,-5.4%,"$7,946,892","$183,826,098","$712,967,590",0.26
157,Holo HOT,$0.001032709092,-0.3%,-0.9%,-0.7%,"$10,498,446","$183,560,317","$183,560,317",1.00
158,JUST JST,$0.019967646610,-0.1%,-2.0%,-1.2%,"$15,580,146","$177,667,383","$197,583,833",0.90
159,Beldex BDX,$0.031472377433,-0.1%,-2.4%,-4.2%,"$6,130,823","$176,035,713","$312,768,033",0.56
160,WEMIX WEMIX,$0.550016,-0.4%,-2.9%,-1.9%,"$1,787,563","$174,332,736","$535,498,731",0.33
162,Ankr Network ANKR,$0.017347270514,-0.1%,-4.1%,-4.2%,"$8,256,441","$173,522,674","$173,522,674",1.00
161,Baby Doge Coin BABYDOGE,$0.000000001105,-0.4%,0.4%,-6.8%,"$1,301,343","$172,754,836","$464,737,217",0.37
163,Livepeer LPT,$5.95,-0.7%,-5.3%,-22.2%,"$23,891,340","$172,540,990","$172,540,990",1.00
164,STEPN GMT,$0.144829,0.1%,-4.2%,-6.6%,"$20,017,460","$171,868,791","$869,140,249",0.20
165,JasmyCoin JASMY,$0.003507543419,0.2%,-2.4%,-2.8%,"$17,281,165","$169,911,020","$175,455,411",0.97
166,Ravencoin RVN,$0.014224435993,-0.7%,-2.9%,-4.8%,"$5,290,318","$169,585,212","$169,582,543",1.00
167,yearn.finance YFI,"$5,100.97",-0.4%,-2.5%,-4.8%,"$23,027,602","$168,567,163","$186,953,469",0.90
168,Aragon ANT,$4.19,-0.2%,-1.6%,-3.0%,"$10,539,869","$168,018,154","$189,273,544",0.89
169,Alchemix USD ALUSD,$0.990338,-0.1%,-0.1%,-0.1%,"$28,749.69","$167,416,033","$167,416,033",1.00
170,BTSE Token BTSE,$1.00,0.0%,-1.6%,0.0%,"$1,081.73","$162,223,563","$200,200,000",0.81
172,Audius AUDIO,$0.145028,-0.5%,-3.3%,-2.0%,"$4,755,215","$161,750,486","$172,264,436",0.94
171,Kusama KSM,$18.00,-0.6%,-2.8%,-5.2%,"$8,731,785","$161,708,926","$180,074,788",0.90
173,Golem GLM,$0.159519,0.1%,-2.5%,-2.5%,"$2,085,112","$159,630,759","$159,630,759",1.00
174,Waves WAVES,$1.56,-0.6%,2.4%,5.2%,"$66,658,537","$155,986,251","$155,986,251",1.00
175,FLOKI FLOKI,$0.000015675855,-0.5%,-5.1%,-6.7%,"$7,241,494","$155,971,408","$156,838,659",0.99
176,Blur BLUR,$0.166664,-0.2%,-5.8%,-10.3%,"$14,757,738","$152,345,526","$499,784,873",0.30
177,aelf ELF,$0.327138,-0.1%,-0.9%,7.2%,"$9,383,776","$151,071,564","$288,173,273",0.52
179,ICON ICX,$0.154167,-0.2%,-3.7%,-3.6%,"$1,751,052","$149,109,104","$150,939,373",0.99
178,Ribbon Finance RBN,$0.189771,-0.3%,0.8%,-2.8%,"$262,161","$149,084,858","$189,918,724",0.78
180,FINSCHIA FNSA,$20.61,-0.0%,-2.3%,-8.0%,"$2,017,783","$147,258,102","$20,590,510,212",0.01
181,Terra LUNA,$0.389622,-0.8%,-3.0%,-15.7%,"$16,045,769","$144,974,990","$420,562,046",0.34
182,IoTeX IOTX,$0.015186614098,-0.2%,2.2%,11.1%,"$6,368,489","$143,347,640","$144,134,508",0.99
183,DAO Maker DAO,$0.741462,-1.2%,-2.1%,3.0%,"$689,298","$141,737,125","$205,865,026",0.69
184,SXP SXP,$0.244942,-0.6%,-2.8%,-0.7%,"$8,189,700","$141,506,336","$141,506,513",1.00
186,EthereumPoW ETHW,$1.29,0.4%,-1.7%,-7.6%,"$2,231,331","$139,119,957","$139,119,665",1.00
185,Axelar AXL,$0.352188,0.9%,1.6%,-0.7%,"$12,193,954","$138,906,682","$385,594,852",0.36
187,Balancer BAL,$3.19,-0.6%,-3.2%,-4.4%,"$4,853,196","$137,558,048","$307,067,580",0.45
188,Siacoin SC,$0.002676668265,1.4%,-2.6%,-5.3%,"$2,096,767","$135,553,863",-,-
189,Ontology ONT,$0.151038,-0.4%,-3.3%,-1.1%,"$5,858,773","$134,841,105","$151,068,446",0.89
190,Ocean Protocol OCEAN,$0.309369,0.3%,-0.8%,-3.9%,"$17,937,397","$134,222,828","$436,042,593",0.31
192,Worldcoin WLD,$1.03,-1.1%,-4.1%,-3.2%,"$53,154,003","$133,046,256","$10,289,775,729",0.01
191,STASIS EURO EURS,$1.07,-0.2%,-0.1%,-0.4%,"$1,106,689","$133,032,692","$133,032,692",1.00
193,Band Protocol BAND,$0.985858,0.2%,-1.0%,-5.1%,"$5,664,837","$131,563,962","$135,888,985",0.97
194,sETH2 SETH2,"$1,545.46",-0.1%,-3.1%,-4.3%,"$76,214.21","$131,482,142","$131,482,142",1.00
196,Biconomy BICO,$0.192409,-0.0%,-2.6%,-5.8%,"$1,383,516","$126,782,598","$192,790,860",0.66
195,Merit Circle MC,$0.273683,-0.5%,-6.1%,-9.6%,"$3,881,291","$126,472,092","$172,921,016",0.73
197,IOST IOST,$0.006740226847,-0.6%,-1.1%,-3.9%,"$3,982,123","$126,075,423","$606,491,650",0.21
200,Moonbeam GLMR,$0.166237,-0.8%,-5.7%,-9.3%,"$3,772,384","$122,696,493","$180,725,941",0.68
198,Kadena KDA,$0.497828,-0.6%,-3.2%,11.5%,"$4,031,492","$122,536,476","$498,211,788",0.25
199,WAX WAXP,$0.036435435716,-0.5%,-3.5%,-4.4%,"$1,113,849","$122,131,089","$137,340,055",0.89
201,Ronin RON,$0.474794,-0.4%,-5.4%,-9.2%,"$1,815,777","$119,822,566","$475,611,313",0.25
203,TomoChain TOMO,$1.22,-0.4%,2.2%,-0.8%,"$13,854,434","$118,132,067","$121,830,578",0.97
202,GalleryCoin GLR,$0.490153,0.0%,3.5%,19.2%,"$78,001.60","$118,088,419","$980,336,751",0.12
204,TerraClassicUSD USTC,$0.012022665088,0.0%,-5.5%,-2.9%,"$7,345,150","$117,697,119","$117,766,354",1.00
205,Tribe TRIBE,$0.257301,-0.0%,2.1%,-2.6%,"$48,719.80","$117,292,347","$257,776,579",0.46
206,SwissBorg CHSB,$0.122243,-0.5%,-2.9%,-5.1%,"$11,186,798","$116,431,429","$122,333,455",0.95
207,Wrapped Beacon ETH WBETH,"$1,582.96",-0.3%,-3.0%,-4.2%,"$135,141","$112,334,812","$112,334,812",1.00
209,Harmony ONE,$0.009035318430,-0.2%,-3.0%,-3.4%,"$10,711,675","$111,124,340","$118,805,866",0.94
208,Bitcoin Avalanche Bridged (BTC.b) BTC.B,"$25,168.82",0.2%,-2.1%,-2.6%,"$4,044,202","$111,052,253","$111,152,944",1.00
219,Blox CDT,$0.164476,18.2%,22.9%,27.2%,"$115,646","$110,292,904","$163,498,826",0.67
210,Polymath POLY,$0.121438,-0.6%,-3.0%,-6.2%,"$22,076.97","$109,188,406","$121,516,115",0.90
211,Sushi SUSHI,$0.563732,-0.1%,-1.0%,-0.2%,"$15,055,278","$108,714,708","$140,976,098",0.77
212,BORA BORA,$0.108825,-0.7%,-2.6%,-5.3%,"$852,716","$108,155,105","$131,228,194",0.82
213,crvUSD CRVUSD,$0.996249,-0.4%,-0.1%,-0.3%,"$6,853,568","$104,446,630","$736,083,944",0.14
214,Magic MAGIC,$0.433191,-0.3%,-3.8%,-14.2%,"$17,500,223","$102,576,353","$150,787,678",0.68
216,NuCypher NU,$0.052270652592,-0.2%,-6.4%,-5.3%,"$1,248.75","$102,416,061","$231,168,409",0.33
215,Energy Web EWT,$2.16,-0.7%,-5.0%,-4.5%,"$712,570","$102,399,733","$216,071,270",0.47
217,SKALE SKL,$0.021610776674,-0.2%,-4.7%,4.7%,"$7,594,727","$101,627,929","$151,376,226",0.67
218,DigiByte DGB,$0.006079626974,-0.2%,-4.4%,-8.3%,"$2,613,529","$100,170,963","$127,534,007",0.79
224,Open Exchange Token OX,$0.025569729917,-0.2%,-10.8%,-37.7%,"$1,640,651","$99,566,305","$252,086,927",0.39
220,Flux FLUX,$0.311679,0.1%,-6.1%,-6.3%,"$4,131,505","$99,047,776","$137,158,295",0.72
221,SSV Network SSV,$13.97,-0.2%,-4.1%,2.0%,"$6,538,758","$98,980,396","$154,733,804",0.64
223,Hive HIVE,$0.265339,0.2%,-2.7%,-3.2%,"$1,211,008","$98,531,710",-,-
222,Stargate Finance STG,$0.481098,-1.4%,-8.1%,-7.6%,"$27,494,088","$98,439,262","$481,722,421",0.20
225,UMA UMA,$1.31,-0.3%,-6.1%,-2.9%,"$5,847,694","$96,814,891","$151,297,545",0.64
